,address,listingby,price,beds,baths,sqft,building_type,price/sqft
568,"1205 4th Ave APT A, San Francisco, CA 94122","WEST & PRASZKER, REALTORS®, Michael Y. Klestoff","$965,000",2 bds,1 ba,963 sqft,- Sold,
569,"300 Beale St APT 418, San Francisco, CA 94105",NaN,$1.10M,1 bd,1 ba,"1,015 sqft",- Sold,
570,"715 Ellsworth St, San Francisco, CA 94110","COMPASS, Danielle H. Lazier",$1.35M,3 bds,2 ba,"1,400 sqft",- Sold,
571,"41 Littlefield Ter, San Francisco, CA 94107","GREEN BANKER, Stanley Lo","$899,000",3 bds,1 ba,956 sqft,- Sold,
572,"1000 N Point St APT 1106, San Francisco, CA 94109","COMPASS, Liliana M. DeMello","$908,000",1 bd,1 ba,-- sqft,- Sold,
573,"3731 Divisadero St, San Francisco, CA 94123","COMPASS, Butch Haze",$3.65M,4 bds,3 ba,"2,577 sqft",- Sold,
574,"2691 22nd Ave, San Francisco, CA 94116","COMPASS, Leon De-Levi",$2.36M,4 bds,4 ba,"2,230 sqft",- Sold,
575,"338 Spear St UNIT 42E, San Francisco, CA 94105","COMPASS, Nina Hatvany",$3.00M,3 bds,2 ba,"1,686 sqft",- Sold,
576,"821 Folsom St APT 107, San Francisco, CA 94107","COMPASS, Teresa A. Callan","$980,000",2 bds,2 ba,"1,102 sqft",- Sold,
577,"1789 Washington St #403, San Francisco, CA 94109","COMPASS, Taña M. Recacho",$1.37M,2 bds,2 ba,"1,050 sqft",- Sold,
578,"730 22nd Ave, San Francisco, CA 94121",NaN,$1.10M,2 bds,1 ba,"1,425 sqft",- Sold,
579,"330 Mission Bay Blvd #116, San Francisco, CA 94158","COMPASS, Robyn L. Kaufman",$1.60M,2 bds,2 ba,"1,569 sqft",- Sold,
580,"570 Moscow St, San Francisco, CA 94112","COMPASS, Juanjuan Huang",$1.91M,4 bds,5 ba,"2,115 sqft",- Sold,
581,"2162 31st Ave, San Francisco, CA 94116","SEQUOIA REAL ESTATE, Sonny Chan",$1.56M,2 bds,1 ba,"1,485 sqft",- Sold,
582,"221 Warren Dr, San Francisco, CA 94131","COMPASS, John M. Kirkpatrick",$1.95M,3 bds,3 ba,"1,770 sqft",- Sold,
583,"3975 Cesar Chavez St #3977, San Francisco, CA 94131","COMPASS SF, Ruth Krishnan",$3.45M,4 bds,4 ba,-- sqft,- Sold,
584,"45 Dolores Ter, San Francisco, CA 94110","SOTHEBY'S INTERNATIONAL REALTY, Chris J. Panou",$1.36M,2 bds,2 ba,-- sqft,- Sold,
585,"250 King St UNIT 1504, San Francisco, CA 94107","KELLER WILLIAMS SAN FRANCISCO, Miyuki Mia Takami","$630,000",1 bd,1 ba,595 sqft,- Sold,
586,"4101 23rd St, San Francisco, CA 94114","MORLEY FREDERICKS REAL ESTATE, Steven M. Crane",$1.62M,4 bds,2 ba,"1,525 sqft",- Sold,
587,"270 Bayview Cir, San Francisco, CA 94124","VANGUARD PROPERTIES, Matthew Tatsumi Gomez","$970,000",2 bds,2 ba,"1,601 sqft",- Sold,
588,"2339 Laguna St, San Francisco, CA 94115","CITY REAL ESTATE, Joan F. Gordon",$4.45M,4 bds,5 ba,"3,405 sqft",- Sold,
589,"176 Merced Ave, San Francisco, CA 94127","BERKSHIRE HATHAWAY-FRANCISCAN, Andrew Herrera II",$2.32M,2 bds,2 ba,"1,674 sqft",- Sold,
590,"1155 Filbert St APT 402, San Francisco, CA 94109","COMPASS, Bridget R. Cannata Denning",$1.30M,2 bds,2 ba,850 sqft,- Sold,
591,"273 Chattanooga St, San Francisco, CA 94114","COMPASS, Connie Chung",$1.71M,3 bds,2 ba,"1,253 sqft",- Sold,
592,"1905 Laguna St APT 305, San Francisco, CA 94115","CORCORAN GLOBAL LIVING, Eduardo Aguire",$1.08M,1 bd,1 ba,768 sqft,- Sold,
593,"175 Bluxome St UNIT 211, San Francisco, CA 94107",NaN,"$925,000",2 bds,2 ba,"1,076 sqft",- Sold,
594,"401 Crescent Ct APT 4306, San Francisco, CA 94134","FAR EAST REALTY, Brian Ngai","$680,000",2 bds,2 ba,935 sqft,- Sold,
595,"43 Downey St, San Francisco, CA 94117","COMPASS SF, John R. Solaegui",$2.10M,3 bds,2 ba,"1,558 sqft",- Sold,
596,"355 1st St UNIT 1208, San Francisco, CA 94105","COMPASS, Robyn L. Kaufman","$738,000",1 bd,1 ba,-- sqft,- Sold,
597,"336 Bradford St, San Francisco, CA 94110","REDFIN, Thomas A. Baumgartner",$1.10M,3 bds,2 ba,"1,450 sqft",- Sold,
598,"539 42nd Ave, San Francisco, CA 94121","COMPASS, Michael B. Soon",$1.72M,4 bds,1 ba,"2,100 sqft",- Sold,
599,"3627 21st St, San Francisco, CA 94114","INDIGO REAL ESTATE, Mollie W. Poe",$4.50M,3 bds,3 ba,"3,003 sqft",- Sold,
600,"1155 Filbert St APT 402, San Francisco, CA 94109","COMPASS, Bridget R. Cannata Denning",$1.30M,2 bds,2 ba,850 sqft,- Sold,
601,"3627 21st St, San Francisco, CA 94114","INDIGO REAL ESTATE, Mollie W. Poe",$4.50M,3 bds,3 ba,"3,003 sqft",- Sold,
602,"2339 Laguna St, San Francisco, CA 94115","CITY REAL ESTATE, Joan F. Gordon",$4.45M,4 bds,5 ba,"3,405 sqft",- Sold,
603,"330 Mission Bay Blvd #116, San Francisco, CA 94158","COMPASS, Robyn L. Kaufman",$1.60M,2 bds,2 ba,"1,569 sqft",- Sold,
604,"338 Spear St UNIT 42E, San Francisco, CA 94105","COMPASS, Nina Hatvany",$3.00M,3 bds,2 ba,"1,686 sqft",- Sold,
605,"712 10th Ave, San Francisco, CA 94118","SOTHEBY'S INTERNATIONAL REALTY, Robert N. Moffatt",$2.00M,3 bds,2 ba,"2,612 sqft",- Sold,
606,"95 Mccoppin St APT E304, San Francisco, CA 94103","STERLING HOMES, Anna G. Spathis","$711,500",1 bd,1 ba,760 sqft,- Sold,
